#Date_Time;LadeSpannung;MaxLadeSpannung;MinLadeSpannung;LadeStrom;MaxLadeStrom;MinLadeStrom
24.07.2023 17:39:52;2,7985347985;9,9194139194;0,0781440781;2,3833943834;9,9145299145;0,0781440781
24.07.2023 17:39:54;1,7289377289;9,9194139194;0,0781440781;1,3382173382;9,9145299145;0,0781440781
24.07.2023 17:39:56;0,8644688645;9,9194139194;0,0781440781;0,6593406593;9,9145299145;0,0781440781
24.07.2023 17:39:58;0,3614163614;9,9194139194;0,0781440781;0,2881562882;9,9145299145;0,0781440781
24.07.2023 17:39:59;0,1855921856;9,9194139194;0,0781440781;0,1611721612;9,9145299145;0,0781440781
24.07.2023 17:40:00;0,1074481074;9,9194139194;0,0781440781;0,1514041514;9,9145299145;0,0781440781
24.07.2023 17:40:01;0,1416361416;9,9194139194;0,0781440781;0,3076923077;9,9145299145;0,0781440781
24.07.2023 17:40:02;0,2588522589;9,9194139194;0,0781440781;0,3565323565;9,9145299145;0,0781440781
24.07.2023 17:40:03;0,5177045177;9,9194139194;0,0781440781;0,6544566545;9,9145299145;0,0781440781
24.07.2023 17:40:04;0,6007326007;9,9194139194;0,0781440781;0,9572649573;9,9145299145;0,0781440781
24.07.2023 17:40:05;1,2405372405;9,9194139194;0,0781440781;1,514041514;9,9145299145;0,0781440781
24.07.2023 17:40:06;1,4798534799;9,9194139194;0,0781440781;1,7094017094;9,9145299145;0,0781440781
24.07.2023 17:40:07;2,1098901099;9,9194139194;0,0781440781;2,4517704518;9,9145299145;0,0781440781
24.07.2023 17:40:08;2,3687423687;9,9194139194;0,0781440781;2,822954823;9,9145299145;0,0781440781
24.07.2023 17:40:09;3,242979243;9,9194139194;0,0781440781;3,7167277167;9,9145299145;0,0781440781
24.07.2023 17:40:10;3,5653235653;9,9194139194;0,0781440781;4,0879120879;9,9145299145;0,0781440781
24.07.2023 17:40:11;4,0976800977;9,9194139194;0,0781440781;4,5225885226;9,9145299145;0,0781440781
24.07.2023 17:40:11;4,463980464;9,9194139194;0,0781440781;4,9816849817;9,9145299145;0,0781440781
24.07.2023 17:40:13;6,0463980464;9,9194139194;0,0781440781;6,3833943834;9,9145299145;0,0781440781
24.07.2023 17:40:14;6,2808302808;9,9194139194;0,0781440781;6,6422466422;9,9145299145;0,0781440781
24.07.2023 17:40:14;6,6666666667;9,9194139194;0,0781440781;6,989010989;9,9145299145;0,0781440781
24.07.2023 17:40:15;7,2380952381;9,9194139194;0,0781440781;7,6581196581;9,9145299145;0,0781440781
24.07.2023 17:40:16;7,5067155067;9,9194139194;0,0781440781;7,8241758242;9,9145299145;0,0781440781
24.07.2023 17:40:16;7,8437118437;9,9194139194;0,0781440781;8,1953601954;9,9145299145;0,0781440781
24.07.2023 17:40:17;8,3272283272;9,9194139194;0,0781440781;8,5323565324;9,9145299145;0,0781440781
24.07.2023 17:40:18;8,5323565324;9,9194139194;0,0781440781;8,8595848596;9,9145299145;0,0781440781
24.07.2023 17:40:18;8,7326007326;9,9194139194;0,0781440781;9,0891330891;9,9145299145;0,0781440781
24.07.2023 17:40:19;9,0891330891;9,9194139194;0,0781440781;9,3528693529;9,9145299145;0,0781440781
24.07.2023 17:40:20;9,3284493284;9,9194139194;0,0781440781;9,4163614164;9,9145299145;0,0781440781
24.07.2023 17:40:20;9,3724053724;9,9194139194;0,0781440781;9,5482295482;9,9145299145;0,0781440781
24.07.2023 17:40:21;9,6703296703;9,9194139194;0,0781440781;9,8070818071;9,9145299145;0,0781440781
24.07.2023 17:40:22;9,6800976801;9,9194139194;0,0781440781;9,8021978022;9,9145299145;0,0781440781
24.07.2023 17:40:23;9,7631257631;9,9194139194;0,0781440781;9,8852258852;9,9145299145;0,0781440781
24.07.2023 17:40:23;9,8608058608;9,9194139194;0,0781440781;9,8266178266;9,9145299145;0,0781440781
24.07.2023 17:40:24;9,8315018315;9,9194139194;0,0781440781;9,7875457875;9,9145299145;0,0781440781
24.07.2023 17:40:25;9,8754578755;9,9194139194;0,0781440781;9,7826617827;9,9145299145;0,0781440781
24.07.2023 17:40:25;9,7045177045;9,9194139194;0,0781440781;9,5726495726;9,9145299145;0,0781440781
24.07.2023 17:40:26;9,5677655678;9,9194139194;0,0781440781;9,5189255189;9,9145299145;0,0781440781
24.07.2023 17:40:27;9,5238095238;9,9194139194;0,0781440781;9,2796092796;9,9145299145;0,0781440781
24.07.2023 17:40:27;9,2014652015;9,9194139194;0,0781440781;8,9572649573;9,9145299145;0,0781440781
24.07.2023 17:40:28;9,0207570208;9,9194139194;0,0781440781;8,8156288156;9,9145299145;0,0781440781
24.07.2023 17:40:29;8,8205128205;9,9194139194;0,0781440781;8,4932844933;9,9145299145;0,0781440781
24.07.2023 17:40:29;8,3272283272;9,9194139194;0,0781440781;8,0097680098;9,9145299145;0,0781440781
24.07.2023 17:40:30;8,1025641026;9,9194139194;0,0781440781;7,7557997558;9,9145299145;0,0781440781
24.07.2023 17:40:31;7,9023199023;9,9194139194;0,0781440781;7,5213675214;9,9145299145;0,0781440781
24.07.2023 17:40:31;7,3943833944;9,9194139194;0,0781440781;6,9645909646;9,9145299145;0,0781440781
24.07.2023 17:40:32;7,0476190476;9,9194139194;0,0781440781;6,6813186813;9,9145299145;0,0781440781
24.07.2023 17:40:33;6,6813186813;9,9194139194;0,0781440781;6,2612942613;9,9145299145;0,0781440781
24.07.2023 17:40:33;6,188034188;9,9194139194;0,0781440781;5,641025641;9,9145299145;0,0781440781
24.07.2023 17:40:34;5,7582417582;9,9194139194;0,0781440781;5,3431013431;9,9145299145;0,0781440781
24.07.2023 17:40:35;5,431013431;9,9194139194;0,0781440781;5,0598290598;9,9145299145;0,0781440781
24.07.2023 17:40:35;4,8058608059;9,9194139194;0,0781440781;4,3760683761;9,9145299145;0,0781440781
24.07.2023 17:40:36;4,463980464;9,9194139194;0,0781440781;4,0781440781;9,9145299145;0,0781440781
