06.07.2023 11:31:40: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:31:40: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:31:41: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:31:41: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:31:41: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:31:42: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:31:42: Voltage:0,01;Ampere:0,01;Temperature: 0
06.07.2023 11:31:42: Voltage:0,01;Ampere:0,01;Temperature: 0
06.07.2023 11:31:42: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:31:43: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:31:43: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:31:43: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:31:44: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:31:44: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:31:44: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:31:44: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:31:45: Voltage: 0;Ampere:0,01;Temperature: 0
06.07.2023 11:31:45: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:33:07: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:33:07: Voltage: 0;Ampere:0,01;Temperature: 0
06.07.2023 11:33:08: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:33:08: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:33:08: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:33:09: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:33:09: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:33:09: Voltage:0,01;Ampere: 0;Temperature:0,01
06.07.2023 11:33:09: Voltage:0,01;Ampere:0,01;Temperature: 0
06.07.2023 11:33:10: Voltage:0,01;Ampere: 0;Temperature: 0
06.07.2023 11:33:10: Voltage:0,01;Ampere:0,01;Temperature:0,01
06.07.2023 11:33:10: Voltage: 0;Ampere:0,01;Temperature:0,01
06.07.2023 11:33:11: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:33:11: Voltage: 0;Ampere:0,01;Temperature: 0
06.07.2023 11:33:11: Voltage: 0;Ampere:0,01;Temperature: 0
06.07.2023 11:33:11: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:33:12: Voltage: 0;Ampere: 0;Temperature:0,01
06.07.2023 11:33:12: Voltage:0,01;Ampere:0,01;Temperature: 0
