#Date_Time;LadeSpannung;MaxLadeSpannung;MinLadeSpannung
24.07.2023 16:40:40;7,9706959707;7,9804639805;4,9230769231
24.07.2023 16:40:42;9,1575091575;9,2356532357;4,9230769231
24.07.2023 16:40:46;9,5873015873;9,8998778999;4,9230769231
24.07.2023 16:40:48;8,6837606838;9,8998778999;4,9230769231
24.07.2023 16:40:50;7,1843711844;9,8998778999;4,9230769231
24.07.2023 16:40:52;5,4017094017;9,8998778999;4,9230769231
24.07.2023 16:40:54;3,3992673993;9,8998778999;3,3992673993
24.07.2023 16:40:56;1,6556776557;9,8998778999;1,6556776557
24.07.2023 16:40:58;0,6251526252;9,8998778999;0,5763125763
24.07.2023 16:41:00;0,1416361416;9,8998778999;0,083028083
24.07.2023 16:41:02;0,4395604396;9,8998778999;0,083028083
24.07.2023 16:41:04;1,5873015873;9,8998778999;0,083028083
24.07.2023 16:41:06;3,199023199;9,8998778999;0,083028083
24.07.2023 16:41:08;5,1135531136;9,8998778999;0,083028083
24.07.2023 16:41:10;7,1062271062;9,8998778999;0,083028083
24.07.2023 16:41:12;8,6007326007;9,8998778999;0,083028083
24.07.2023 16:41:14;9,5921855922;9,8998778999;0,083028083
24.07.2023 16:41:16;9,8363858364;9,9047619048;0,083028083
24.07.2023 16:41:18;9,304029304;9,9047619048;0,083028083
24.07.2023 16:41:20;8,0244200244;9,9047619048;0,083028083
24.07.2023 16:41:22;6,3882783883;9,9047619048;0,083028083
24.07.2023 16:41:24;4,3907203907;9,9047619048;0,083028083
24.07.2023 16:41:26;2,5299145299;9,9047619048;0,083028083
24.07.2023 16:41:28;1,0891330891;9,9047619048;0,083028083
24.07.2023 16:41:30;0,2735042735;9,9047619048;0,083028083
24.07.2023 16:41:32;0,1807081807;9,9047619048;0,0732600733
24.07.2023 16:41:34;0,9768009768;9,9047619048;0,0732600733
24.07.2023 16:41:36;2,2808302808;9,9047619048;0,0732600733
24.07.2023 16:41:38;4,2051282051;9,9047619048;0,0732600733
24.07.2023 16:41:40;6,1294261294;9,9047619048;0,0732600733
24.07.2023 16:41:42;7,8241758242;9,9047619048;0,0732600733
24.07.2023 16:41:44;9,2356532357;9,9047619048;0,0732600733
24.07.2023 16:41:46;9,8363858364;9,9047619048;0,0732600733
24.07.2023 16:41:48;9,7094017094;9,9194139194;0,0732600733
24.07.2023 16:41:50;8,8058608059;9,9194139194;0,0732600733
24.07.2023 16:41:52;7,3162393162;9,9194139194;0,0732600733
24.07.2023 16:41:54;5,3675213675;9,9194139194;0,0732600733
24.07.2023 16:41:56;3,4285714286;9,9194139194;0,0732600733
24.07.2023 16:41:58;1,6996336996;9,9194139194;0,0732600733
24.07.2023 16:42:00;0,6593406593;9,9194139194;0,0732600733
24.07.2023 16:42:02;0,1611721612;9,9194139194;0,0732600733
24.07.2023 16:42:04;0,4542124542;9,9194139194;0,0732600733
24.07.2023 16:42:06;1,4945054945;9,9194139194;0,0732600733
24.07.2023 16:42:08;3,1355311355;9,9194139194;0,0732600733
24.07.2023 16:42:10;5,1916971917;9,9194139194;0,0732600733
24.07.2023 16:42:12;7,0134310134;9,9194139194;0,0732600733
24.07.2023 16:42:14;8,6691086691;9,9194139194;0,0732600733
24.07.2023 16:42:16;9,5970695971;9,9194139194;0,0732600733
24.07.2023 16:42:18;9,8608058608;9,9194139194;0,0732600733
24.07.2023 16:42:20;9,2844932845;9,9194139194;0,0732600733
24.07.2023 16:42:22;8,0879120879;9,9194139194;0,0732600733
24.07.2023 16:57:50;4,8351648352;9,9047619048;4,8351648352;4,5030525031;9,9096459096;4,4395604396
24.07.2023 16:57:52;2,9157509158;9,9047619048;2,9157509158;2,5787545788;9,9096459096;2,5787545788
24.07.2023 17:39:42;9,1623931624;9,9145299145;0,0732600733;8,9426129426;9,9194139194;0,0732600733
24.07.2023 17:39:44;8,4297924298;9,9145299145;0,0732600733;8,2002442002;9,9194139194;0,0732600733
24.07.2023 17:39:46;7,5115995116;9,9145299145;0,0732600733;7,0378510379;9,9194139194;0,0732600733
24.07.2023 17:39:48;6,1782661783;9,9145299145;0,0732600733;5,8461538462;9,9194139194;0,0732600733
24.07.2023 17:39:50;4,9230769231;9,9145299145;0,0732600733;4,5128205128;9,9194139194;0,0732600733
24.07.2023 17:39:53;2,8571428571;9,9145299145;0,0732600733;2,4517704518;9,9194139194;0,0732600733
24.07.2023 17:39:55;1,811965812;9,9145299145;0,0732600733;1,431013431;9,9194139194;0,0732600733
24.07.2023 17:39:57;0,9572649573;9,9145299145;0,0732600733;0,8449328449;9,9194139194;0,0732600733
24.07.2023 17:40:12;3,9804639805;9,9145299145;0,0732600733;4,3711843712;9,9194139194;0,0732600733
24.07.2023 17:40:13;4,5030525031;9,9145299145;0,0732600733;4,9035409035;9,9194139194;0,0732600733
24.07.2023 17:40:13;4,9035409035;9,9145299145;0,0732600733;5,2991452991;9,9194139194;0,0732600733
24.07.2023 17:40:14;5,5286935287;9,9145299145;0,0732600733;5,9682539683;9,9194139194;0,0732600733
24.07.2023 17:40:15;5,8266178266;9,9145299145;0,0732600733;6,2271062271;9,9194139194;0,0732600733
24.07.2023 17:40:15;6,2466422466;9,9145299145;0,0732600733;6,6275946276;9,9194139194;0,0732600733
24.07.2023 17:40:16;6,8131868132;9,9145299145;0,0732600733;7,1550671551;9,9194139194;0,0732600733
24.07.2023 17:40:17;7,1208791209;9,9145299145;0,0732600733;7,4676434676;9,9194139194;0,0732600733
24.07.2023 17:40:17;7,3992673993;9,9145299145;0,0732600733;7,8388278388;9,9194139194;0,0732600733
24.07.2023 17:40:18;7,956043956;9,9145299145;0,0732600733;8,2295482295;9,9194139194;0,0732600733
24.07.2023 17:40:19;8,1953601954;9,9145299145;0,0732600733;8,5274725275;9,9194139194;0,0732600733
24.07.2023 17:40:19;8,5030525031;9,9145299145;0,0732600733;8,7863247863;9,9194139194;0,0732600733
24.07.2023 17:40:20;8,8986568987;9,9145299145;0,0732600733;9,0012210012;9,9194139194;0,0732600733
24.07.2023 17:40:21;8,9719169719;9,9145299145;0,0732600733;9,221001221;9,9194139194;0,0732600733
24.07.2023 17:40:21;9,304029304;9,9145299145;0,0732600733;9,4065934066;9,9194139194;0,0732600733
24.07.2023 17:40:22;9,4847374847;9,9145299145;0,0732600733;9,5824175824;9,9194139194;0,0732600733
24.07.2023 17:40:23;9,5628815629;9,9145299145;0,0732600733;9,641025641;9,9194139194;0,0732600733
24.07.2023 17:40:23;9,7533577534;9,9145299145;0,0732600733;9,7826617827;9,9194139194;0,0732600733
24.07.2023 17:40:24;9,768009768;9,9145299145;0,0732600733;9,7875457875;9,9194139194;0,0732600733
24.07.2023 17:40:25;9,8217338217;9,9145299145;0,0732600733;9,851037851;9,9194139194;0,0732600733
24.07.2023 17:40:25;9,9047619048;9,9145299145;0,0732600733;9,8461538462;9,9194139194;0,0732600733
24.07.2023 17:40:26;9,8461538462;9,9145299145;0,0732600733;9,7777777778;9,9194139194;0,0732600733
24.07.2023 17:40:27;9,8021978022;9,9145299145;0,0732600733;9,5628815629;9,9194139194;0,0732600733
24.07.2023 17:40:27;9,6703296703;9,9145299145;0,0732600733;9,431013431;9,9194139194;0,0732600733
24.07.2023 17:40:28;9,3577533578;9,9145299145;0,0732600733;9,2600732601;9,9194139194;0,0732600733
24.07.2023 17:40:29;9,2405372405;9,9145299145;0,0732600733;9,010989011;9,9194139194;0,0732600733
24.07.2023 17:40:29;9,0549450549;9,9145299145;0,0732600733;8,757020757;9,9194139194;0,0732600733
24.07.2023 17:40:30;8,800976801;9,9145299145;0,0732600733;8,4688644689;9,9194139194;0,0732600733
24.07.2023 17:40:31;8,4395604396;9,9145299145;0,0732600733;8,1953601954;9,9194139194;0,0732600733
24.07.2023 17:40:31;8,1758241758;9,9145299145;0,0732600733;7,9462759463;9,9194139194;0,0732600733
24.07.2023 17:40:32;7,7948717949;9,9145299145;0,0732600733;7,4285714286;9,9194139194;0,0732600733
24.07.2023 17:40:33;7,4481074481;9,9145299145;0,0732600733;7,0671550672;9,9194139194;0,0732600733
