#Date_Time;Ladespannung;MaxLadespannung;MinLadespannung
24.07.2023 23:07:53;7,1355311355;9,8998778999;4,9230769231
24.07.2023 23:07:55;5,3235653236;9,8998778999;4,9230769231
24.07.2023 23:07:58;2,9157509158;9,8998778999;2,9108669109
24.07.2023 23:07:59;1,4065934066;9,8998778999;1,4065934066
24.07.2023 23:08:00;1,3919413919;9,8998778999;1,3577533578
24.07.2023 23:08:01;0,3663003663;9,8998778999;0,3663003663
24.07.2023 23:08:02;0,42002442;9,8998778999;0,3223443223
24.07.2023 23:08:03;0,2051282051;9,8998778999;0,083028083
24.07.2023 23:08:04;0,1709401709;9,8998778999;0,083028083
24.07.2023 23:08:05;0,6788766789;9,8998778999;0,083028083
24.07.2023 23:08:06;0,8302808303;9,8998778999;0,083028083
24.07.2023 23:08:07;1,9731379731;9,8998778999;0,083028083
24.07.2023 23:08:08;2,0903540904;9,8998778999;0,083028083
24.07.2023 23:08:09;3,7753357753;9,8998778999;0,083028083
24.07.2023 23:08:10;3,9218559219;9,8998778999;0,083028083
24.07.2023 23:08:11;5,7582417582;9,8998778999;0,083028083
24.07.2023 23:08:12;5,8998778999;9,8998778999;0,083028083
24.07.2023 23:08:13;7,5018315018;9,8998778999;0,083028083
24.07.2023 23:08:14;7,5995115995;9,8998778999;0,083028083
24.07.2023 23:08:15;8,9719169719;9,8998778999;0,083028083
24.07.2023 23:08:16;9,0891330891;9,8998778999;0,083028083
24.07.2023 23:08:17;9,7924297924;9,8998778999;0,083028083
24.07.2023 23:08:18;9,7728937729;9,8998778999;0,083028083
24.07.2023 23:08:19;9,7484737485;9,9047619048;0,083028083
24.07.2023 23:08:20;9,6996336996;9,9047619048;0,083028083
24.07.2023 23:08:21;9,0061050061;9,9047619048;0,083028083
24.07.2023 23:08:22;8,7765567766;9,9047619048;0,083028083
24.07.2023 23:08:23;7,4578754579;9,9047619048;0,083028083
24.07.2023 23:08:24;7,409035409;9,9047619048;0,083028083
24.07.2023 23:08:25;5,5726495726;9,9047619048;0,083028083
24.07.2023 23:08:26;5,4261294261;9,9047619048;0,083028083
24.07.2023 23:08:27;3,663003663;9,9047619048;0,083028083
24.07.2023 23:08:28;3,452991453;9,9047619048;0,083028083
