#Date_Time;LadeStrom;MaxLadeStrom;MinLadeStrom;LadeSpannung;MaxLadeSpannung;MinLadeSpannung
24.07.2023 17:39:53;0,2051282051;9,9096459096;0,2051282051;0,1953601954;9,9145299145;0,1318681319
24.07.2023 17:39:55;0,21001221;9,9096459096;0,083028083;0,253968254;9,9145299145;0,0976800977
24.07.2023 17:40:13;8,7374847375;9,9096459096;0,083028083;9,094017094;9,9145299145;0,0976800977
24.07.2023 17:40:13;8,927960928;9,9096459096;0,083028083;9,1672771673;9,9145299145;0,0976800977
24.07.2023 17:40:14;9,2405372405;9,9096459096;0,083028083;9,3724053724;9,9145299145;0,0976800977
24.07.2023 17:40:15;9,431013431;9,9096459096;0,083028083;9,5335775336;9,9145299145;0,0976800977
24.07.2023 17:40:15;9,5873015873;9,9096459096;0,083028083;9,7631257631;9,9145299145;0,0976800977
24.07.2023 17:40:16;9,6898656899;9,9096459096;0,083028083;9,7631257631;9,9145299145;0,0976800977
24.07.2023 17:40:17;9,8217338217;9,9096459096;0,083028083;9,8217338217;9,9145299145;0,0976800977
24.07.2023 17:40:17;9,8803418803;9,9096459096;0,083028083;9,851037851;9,9145299145;0,0976800977
24.07.2023 17:40:18;9,9145299145;9,9194139194;0,083028083;9,8461538462;9,9145299145;0,0976800977
24.07.2023 17:40:19;9,7387057387;9,9194139194;0,083028083;9,7240537241;9,9145299145;0,0976800977
24.07.2023 17:40:19;9,6898656899;9,9194139194;0,083028083;9,6556776557;9,9145299145;0,0976800977
24.07.2023 17:40:20;9,6312576313;9,9194139194;0,083028083;9,4896214896;9,9145299145;0,0976800977
24.07.2023 17:40:21;9,5238095238;9,9194139194;0,083028083;9,2893772894;9,9145299145;0,0976800977
24.07.2023 17:40:21;9,2991452991;9,9194139194;0,083028083;9,137973138;9,9145299145;0,0976800977
24.07.2023 17:40:22;9,1965811966;9,9194139194;0,083028083;8,8302808303;9,9145299145;0,0976800977
24.07.2023 17:40:23;8,7619047619;9,9194139194;0,083028083;8,4688644689;9,9145299145;0,0976800977
24.07.2023 17:40:23;8,6153846154;9,9194139194;0,083028083;8,2637362637;9,9145299145;0,0976800977
24.07.2023 17:40:24;8,3125763126;9,9194139194;0,083028083;7,916971917;9,9145299145;0,0976800977
24.07.2023 17:40:25;7,9072039072;9,9194139194;0,083028083;7,4725274725;9,9145299145;0,0976800977
24.07.2023 17:40:25;7,6043956044;9,9194139194;0,083028083;7,1941391941;9,9145299145;0,0976800977
24.07.2023 17:40:26;7,2918192918;9,9194139194;0,083028083;6,8376068376;9,9145299145;0,0976800977
24.07.2023 17:40:27;6,7057387057;9,9194139194;0,083028083;6,3638583639;9,9145299145;0,0976800977
24.07.2023 17:40:27;6,4517704518;9,9194139194;0,083028083;6,0073260073;9,9145299145;0,0976800977
