17.07.2023 08:35:47: 
17.07.2023 08:35:49: Voltage:6,86;MaxVoltage:6,86;MinVoltage:4,92;Ampere:19,22;MaxAmpere:19,22;MinAmpere:14,32;Temperature:7,6;MaxTemperature:7,67;MinTemperature:5,79
17.07.2023 08:35:51: Voltage:8,55;MaxVoltage:8,55;MinVoltage:4,92;Ampere:23,31;MaxAmpere:23,31;MinAmpere:14,32;Temperature:9,03;MaxTemperature:9,04;MinTemperature:5,79
17.07.2023 08:35:53: Voltage:9,5;MaxVoltage:9,54;MinVoltage:4,92;Ampere:25,69;MaxAmpere:25,69;MinAmpere:14,32;Temperature:9,82;MaxTemperature:9,82;MinTemperature:5,79
17.07.2023 08:35:55: Voltage:9,88;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,96;MaxAmpere:26,17;MinAmpere:14,32;Temperature:9,67;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:35:57: Voltage:9,39;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,36;MaxAmpere:26,17;MinAmpere:14,32;Temperature:8,96;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:35:59: Voltage:8,16;MaxVoltage:9,89;MinVoltage:4,92;Ampere:20,66;MaxAmpere:26,17;MinAmpere:14,32;Temperature:7,42;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:36:01: Voltage:6,52;MaxVoltage:9,89;MinVoltage:4,92;Ampere:15,96;MaxAmpere:26,17;MinAmpere:14,32;Temperature:5,6;MaxTemperature:9,92;MinTemperature:5,6
17.07.2023 08:36:03: Voltage:4,53;MaxVoltage:9,89;MinVoltage:4,5;Ampere:11,02;MaxAmpere:26,17;MinAmpere:10,93;Temperature:3,66;MaxTemperature:9,92;MinTemperature:3,66
17.07.2023 08:36:05: Voltage:2,62;MaxVoltage:9,89;MinVoltage:2,62;Ampere:5,96;MaxAmpere:26,17;MinAmpere:5,96;Temperature:2,03;MaxTemperature:9,92;MinTemperature:1,95
17.07.2023 08:36:07: Voltage:1,18;MaxVoltage:9,89;MinVoltage:1,15;Ampere:2,46;MaxAmpere:26,17;MinAmpere:2,38;Temperature:0,69;MaxTemperature:9,92;MinTemperature:0,66
17.07.2023 08:36:09: Voltage:0,3;MaxVoltage:9,89;MinVoltage:0,3;Ampere:0,49;MaxAmpere:26,17;MinAmpere:0,49;Temperature:0,2;MaxTemperature:9,92;MinTemperature:0,11
17.07.2023 08:36:11: Voltage:0,17;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,64;MaxAmpere:26,17;MinAmpere:0,21;Temperature:0,46;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:13: Voltage:0,8;MaxVoltage:9,89;MinVoltage:0,08;Ampere:2,75;MaxAmpere:26,17;MinAmpere:0,21;Temperature:1,37;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:15: Voltage:2,25;MaxVoltage:9,89;MinVoltage:0,08;Ampere:6,78;MaxAmpere:26,17;MinAmpere:0,21;Temperature:2,85;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:17: Voltage:4;MaxVoltage:9,89;MinVoltage:0,08;Ampere:11,41;MaxAmpere:26,17;MinAmpere:0,21;Temperature:4,84;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:19: Voltage:5,89;MaxVoltage:9,89;MinVoltage:0,08;Ampere:16,94;MaxAmpere:26,17;MinAmpere:0,21;Temperature:6,69;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:21: Voltage:7,68;MaxVoltage:9,89;MinVoltage:0,08;Ampere:21,36;MaxAmpere:26,17;MinAmpere:0,21;Temperature:8,38;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:23: Voltage:9,05;MaxVoltage:9,89;MinVoltage:0,08;Ampere:24,49;MaxAmpere:26,17;MinAmpere:0,21;Temperature:9,5;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:25: Voltage:9,74;MaxVoltage:9,89;MinVoltage:0,08;Ampere:26,1;MaxAmpere:26,17;MinAmpere:0,21;Temperature:9,87;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:27: Voltage:9,71;MaxVoltage:9,9;MinVoltage:0,08;Ampere:25,34;MaxAmpere:26,17;MinAmpere:0,21;Temperature:9,41;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:29: Voltage:8,92;MaxVoltage:9,9;MinVoltage:0,08;Ampere:22,56;MaxAmpere:26,17;MinAmpere:0,21;Temperature:8,24;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:31: Voltage:7,39;MaxVoltage:9,9;MinVoltage:0,08;Ampere:18,51;MaxAmpere:26,17;MinAmpere:0,21;Temperature:6,59;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:33: Voltage:5,58;MaxVoltage:9,9;MinVoltage:0,08;Ampere:13,42;MaxAmpere:26,17;MinAmpere:0,21;Temperature:4,75;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:35: Voltage:3,61;MaxVoltage:9,9;MinVoltage:0,08;Ampere:8,42;MaxAmpere:26,17;MinAmpere:0,21;Temperature:2,81;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:36:37: Voltage:1,87;MaxVoltage:9,9;MinVoltage17.07.2023 08:46:56: Voltage:4,92;MaxVoltage:4,92;MinVoltage:4,92;Ampere:14,32;MaxAmpere:14,32;MinAmpere:14,32;Temperature:5,79;MaxTemperature:5,79;MinTemperature:5,79
17.07.2023 08:46:58: Voltage:6,86;MaxVoltage:6,86;MinVoltage:4,92;Ampere:19,22;MaxAmpere:19,22;MinAmpere:14,32;Temperature:7,6;MaxTemperature:7,67;MinTemperature:5,79
17.07.2023 08:47:00: Voltage:8,56;MaxVoltage:8,56;MinVoltage:4,92;Ampere:23,16;MaxAmpere:23,31;MinAmpere:14,32;Temperature:8,99;MaxTemperature:9,04;MinTemperature:5,79
17.07.2023 08:47:02: Voltage:9,5;MaxVoltage:9,54;MinVoltage:4,92;Ampere:25,69;MaxAmpere:25,69;MinAmpere:14,32;Temperature:9,82;MaxTemperature:9,82;MinTemperature:5,79
17.07.2023 08:47:04: Voltage:9,86;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,81;MaxAmpere:26,17;MinAmpere:14,32;Temperature:9,72;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:47:06: Voltage:9,4;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,17;MaxAmpere:26,17;MinAmpere:14,32;Temperature:8,94;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:47:08: Voltage:8,16;MaxVoltage:9,89;MinVoltage:4,92;Ampere:20,48;MaxAmpere:26,17;MinAmpere:14,32;Temperature:7,53;MaxTemperature:9,92;MinTemperature:5,79
17.07.2023 08:47:10: Voltage:6,52;MaxVoltage:9,89;MinVoltage:4,92;Ampere:15,96;MaxAmpere:26,17;MinAmpere:14,32;Temperature:5,6;MaxTemperature:9,92;MinTemperature:5,6
17.07.2023 08:47:12: Voltage:4,53;MaxVoltage:9,89;MinVoltage:4,5;Ampere:11,02;MaxAmpere:26,17;MinAmpere:10,93;Temperature:3,66;MaxTemperature:9,92;MinTemperature:3,66
17.07.2023 08:47:14: Voltage:2,62;MaxVoltage:9,89;MinVoltage:2,62;Ampere:6,16;MaxAmpere:26,17;MinAmpere:6,12;Temperature:1,95;MaxTemperature:9,92;MinTemperature:1,95
17.07.2023 08:47:16: Voltage:1,18;MaxVoltage:9,89;MinVoltage:1,15;Ampere:2,46;MaxAmpere:26,17;MinAmpere:2,38;Temperature:0,69;MaxTemperature:9,92;MinTemperature:0,66
17.07.2023 08:47:18: Voltage:0,3;MaxVoltage:9,89;MinVoltage:0,3;Ampere:0,49;MaxAmpere:26,17;MinAmpere:0,49;Temperature:0,2;MaxTemperature:9,92;MinTemperature:0,11
17.07.2023 08:47:20: Voltage:0,17;MaxVoltage:9,89;MinVoltage:0,08;Ampere:0,64;MaxAmpere:26,17;MinAmpere:0,21;Temperature:0,46;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:47:22: Voltage:0,8;MaxVoltage:9,89;MinVoltage:0,08;Ampere:2,75;MaxAmpere:26,17;MinAmpere:0,21;Temperature:1,37;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:47:24: Voltage:2,25;MaxVoltage:9,89;MinVoltage:0,08;Ampere:6,78;MaxAmpere:26,17;MinAmpere:0,21;Temperature:2,85;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:47:26: Voltage:4;MaxVoltage:9,89;MinVoltage:0,08;Ampere:11,41;MaxAmpere:26,17;MinAmpere:0,21;Temperature:4,84;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:47:28: Voltage:5,89;MaxVoltage:9,89;MinVoltage:0,08;Ampere:16,87;MaxAmpere:26,17;MinAmpere:0,21;Temperature:6,66;MaxTemperature:9,92;MinTemperature:0,08
17.07.2023 08:47:30: Voltage:7,72;MaxVoltage:9,89;MinVoltage:0,08;Ampere:21,39;MaxAmpere:26,17;MinAmpere:0,21;Temperature:8,39;MaxTemperature:9,92;MinTemperature:0,08
